[Tue Jan  7 22:56:11 2025],[DEBUG] : StartDebugging
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 700, Adjsted : 560
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 0.000000 , Elo : 850, Adjsted : 680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 0.000000 , Elo : 850, Adjsted : 680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 0.000000 , Elo : 850, Adjsted : 680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 100.000000 , Elo : 1000, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 650, Adjsted : 520
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 80.000000 , Elo : 1250, Adjsted : 1400
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 0.000000 , Elo : 800, Adjsted : 640
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 80.000000 , Elo : 1250, Adjsted : 1400
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 950, Adjsted : 950
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 80.000000 , Elo : 1250, Adjsted : 1400
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1100, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 80.000000 , Elo : 1250, Adjsted : 1400
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 600, Adjsted : 480
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 33.333333 , Elo : 900, Adjsted : 840
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1200, Adjsted : 1440
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 33.333333 , Elo : 900, Adjsted : 840
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 33.333333 , Elo : 900, Adjsted : 840
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1200, Adjsted : 1440
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 66.666667 , Elo : 1050, Adjsted : 1120
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1200, Adjsted : 1440
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1200, Adjsted : 1440
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 550, Adjsted : 440
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 1000, Adjsted : 1000
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1300, Adjsted : 1560
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 25.000000 , Elo : 850, Adjsted : 765
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1000, Adjsted : 1000
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 1000, Adjsted : 1000
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1000, Adjsted : 1000
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1300, Adjsted : 1560
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 75.000000 , Elo : 1150, Adjsted : 1265
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1300, Adjsted : 1560
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1300, Adjsted : 1560
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 500, Adjsted : 400
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1400, Adjsted : 1680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 40.000000 , Elo : 950, Adjsted : 912
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 40.000000 , Elo : 950, Adjsted : 912
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 40.000000 , Elo : 950, Adjsted : 912
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1400, Adjsted : 1680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 60.000000 , Elo : 1100, Adjsted : 1144
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1400, Adjsted : 1680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1400, Adjsted : 1680
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 450, Adjsted : 360
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 50.000000 , Elo : 1050, Adjsted : 1050
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1500, Adjsted : 1800
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1050, Adjsted : 1050
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1050, Adjsted : 1050
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1050, Adjsted : 1050
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1050, Adjsted : 1050
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1500, Adjsted : 1800
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1500, Adjsted : 1800
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 66.666667 , Elo : 1200, Adjsted : 1280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1500, Adjsted : 1800
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 44.444444 , Elo : 1050, Adjsted : 1026
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 400, Adjsted : 320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1600, Adjsted : 1920
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 42.857143 , Elo : 1000, Adjsted : 971
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 44.444444 , Elo : 1050, Adjsted : 1026
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1600, Adjsted : 1920
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 57.142857 , Elo : 1150, Adjsted : 1182
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1600, Adjsted : 1920
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1600, Adjsted : 1920
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 350, Adjsted : 280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1700, Adjsted : 2040
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1100, Adjsted : 1100
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1700, Adjsted : 2040
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1700, Adjsted : 2040
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 62.500000 , Elo : 1250, Adjsted : 1312
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1700, Adjsted : 2040
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 300, Adjsted : 240
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 50.000000 , Elo : 1200, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1800, Adjsted : 2160
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 44.444444 , Elo : 1050, Adjsted : 1026
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 50.000000 , Elo : 1200, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1800, Adjsted : 2160
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 55.555556 , Elo : 1200, Adjsted : 1226
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1800, Adjsted : 2160
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 54.545455 , Elo : 1250, Adjsted : 1272
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1800, Adjsted : 2160
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1200, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : salah, Wp : 0.000000 , Elo : 250, Adjsted : 200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 53.846154 , Elo : 1300, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : joe, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1900, Adjsted : 2280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mo7ie, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : fr5a, Wp : 50.000000 , Elo : 1150, Adjsted : 1150
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1200, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 53.846154 , Elo : 1300, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1900, Adjsted : 2280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 50.000000 , Elo : 1200, Adjsted : 1200
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : yousry, Wp : 53.846154 , Elo : 1300, Adjsted : 1320
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1900, Adjsted : 2280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : omar, Wp : 60.000000 , Elo : 1300, Adjsted : 1352
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : mahmod, Wp : 100.000000 , Elo : 1900, Adjsted : 2280
[Tue Jan  7 22:56:11 2025],[DEBUG] : Name : slta, Wp : 53.846154 , Elo : 1300, Adjsted : 1320
